day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,1,"05:09","06:30","11:52","14:51","17:18","18:36"
2,1,"05:08","06:29","11:52","14:52","17:19","18:36"
3,1,"05:08","06:29","11:52","14:52","17:20","18:37"
4,1,"05:07","06:28","11:53","14:53","17:21","18:38"
5,1,"05:06","06:27","11:53","14:54","17:22","18:39"
6,1,"05:06","06:27","11:53","14:54","17:23","18:40"
7,1,"05:05","06:26","11:53","14:55","17:24","18:40"
8,1,"05:05","06:25","11:53","14:56","17:25","18:41"
9,1,"05:04","06:24","11:53","14:56","17:26","18:42"
10,1,"05:03","06:23","11:53","14:57","17:26","18:43"
11,1,"05:02","06:23","11:53","14:58","17:27","18:43"
12,1,"05:02","06:22","11:53","14:58","17:28","18:44"
13,1,"05:01","06:21","11:53","14:59","17:29","18:45"
14,1,"05:00","06:20","11:53","15:00","17:30","18:46"
15,1,"04:59","06:19","11:53","15:00","17:31","18:46"
16,1,"04:58","06:18","11:53","15:01","17:31","18:47"
17,1,"04:57","06:17","11:53","15:01","17:32","18:48"
18,1,"04:57","06:16","11:53","15:02","17:33","18:49"
19,1,"04:56","06:15","11:53","15:03","17:34","18:49"
20,1,"04:55","06:14","11:52","15:03","17:35","18:50"
21,1,"04:54","06:13","11:52","15:04","17:36","18:51"
22,1,"04:53","06:12","11:52","15:04","17:36","18:52"
23,1,"04:52","06:11","11:52","15:05","17:37","18:52"
24,1,"04:51","06:10","11:52","15:05","17:38","18:53"
25,1,"04:50","06:09","11:52","15:06","17:39","18:54"
26,1,"04:49","06:08","11:52","15:06","17:40","18:55"
27,1,"04:48","06:07","11:51","15:07","17:40","18:55"
28,1,"04:46","06:05","11:51","15:07","17:41","18:56"
29,1,"04:46","06:05","11:51","15:07","17:42","18:56"
