day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,11,"04:33","05:53","11:22","14:26","16:55","18:11"
2,11,"04:34","05:54","11:22","14:25","16:54","18:11"
3,11,"04:34","05:55","11:22","14:25","16:53","18:10"
4,11,"04:35","05:56","11:22","14:24","16:53","18:09"
5,11,"04:36","05:57","11:22","14:23","16:52","18:09"
6,11,"04:37","05:57","11:22","14:23","16:51","18:08"
7,11,"04:37","05:58","11:22","14:22","16:50","18:07"
8,11,"04:38","05:59","11:22","14:22","16:50","18:07"
9,11,"04:39","06:00","11:22","14:21","16:49","18:06"
10,11,"04:39","06:01","11:23","14:21","16:48","18:06"
11,11,"04:40","06:02","11:23","14:20","16:48","18:05"
12,11,"04:41","06:02","11:23","14:20","16:47","18:05"
13,11,"04:42","06:03","11:23","14:19","16:47","18:04"
14,11,"04:42","06:04","11:23","14:19","16:46","18:04"
15,11,"04:43","06:05","11:23","14:19","16:45","18:03"
16,11,"04:44","06:06","11:23","14:18","16:45","18:03"
17,11,"04:45","06:07","11:24","14:18","16:45","18:03"
18,11,"04:45","06:07","11:24","14:17","16:44","18:02"
19,11,"04:46","06:08","11:24","14:17","16:44","18:02"
20,11,"04:47","06:09","11:24","14:17","16:43","18:02"
21,11,"04:47","06:10","11:24","14:17","16:43","18:01"
22,11,"04:48","06:11","11:25","14:16","16:43","18:01"
23,11,"04:49","06:12","11:25","14:16","16:42","18:01"
24,11,"04:50","06:12","11:25","14:16","16:42","18:01"
25,11,"04:50","06:13","11:26","14:16","16:42","18:01"
26,11,"04:51","06:14","11:26","14:16","16:42","18:01"
27,11,"04:52","06:15","11:26","14:16","16:41","18:01"
28,11,"04:52","06:16","11:27","14:16","16:41","18:01"
29,11,"04:53","06:17","11:27","14:16","16:41","18:01"
30,11,"04:54","06:17","11:27","14:16","16:41","18:01"
