day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,1,"03:22","04:52","11:05","15:25","18:42","20:08"
2,1,"03:23","04:52","11:45","15:25","18:41","20:07"
3,1,"03:24","04:53","11:45","15:25","18:41","20:06"
4,1,"03:25","04:54","11:45","15:25","18:40","20:05"
5,1,"03:26","04:54","11:45","15:25","18:39","20:03"
6,1,"03:27","04:55","11:45","15:24","18:38","20:02"
7,1,"03:28","04:56","11:44","15:24","18:37","20:01"
8,1,"03:29","04:56","11:44","15:24","18:36","20:00"
9,1,"03:29","04:57","11:44","15:24","18:35","19:59"
10,1,"03:30","04:58","11:44","15:24","18:34","19:58"
11,1,"03:31","04:58","11:44","15:23","18:33","19:56"
12,1,"03:32","04:59","11:44","15:23","18:32","19:55"
13,1,"03:33","05:00","11:44","15:23","18:31","19:54"
14,1,"03:34","05:00","11:43","15:23","18:30","19:53"
15,1,"03:35","05:01","11:43","15:22","18:29","19:51"
16,1,"03:36","05:02","11:43","15:22","18:28","19:50"
17,1,"03:37","05:02","11:43","15:21","18:27","19:49"
18,1,"03:38","05:03","11:43","15:21","18:26","19:47"
19,1,"03:39","05:04","11:42","15:21","18:25","19:46"
20,1,"03:39","05:04","11:42","15:20","18:24","19:45"
21,1,"03:40","05:05","11:42","15:20","18:23","19:43"
22,1,"03:41","05:05","11:42","15:19","18:22","19:42"
23,1,"03:42","05:06","11:41","15:19","18:21","19:40"
24,1,"03:43","05:07","11:41","15:19","18:19","19:39"
25,1,"03:44","05:07","11:41","15:18","18:18","19:38"
26,1,"03:45","05:08","11:40","15:18","18:17","19:36"
27,1,"03:46","05:09","11:40","15:17","18:16","19:35"
28,1,"03:46","05:09","11:40","15:17","18:15","19:33"
29,1,"03:47","05:10","11:40","15:16","18:13","19:32"
30,1,"03:48","05:11","11:39","15:15","18:12","19:31"
31,1,"03:49","05:11","11:39","15:15","18:11","19:29"
