day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,1,"04:44","06:03","11:51","15:08","17:43","18:58"
2,1,"04:43","06:02","11:51","15:08","17:44","18:58"
3,1,"04:42","06:01","11:51","15:09","17:44","18:59"
4,1,"04:41","06:00","11:50","15:09","17:45","19:00"
5,1,"04:40","05:58","11:50","15:10","17:46","19:01"
6,1,"04:38","05:57","11:50","15:10","17:47","19:01"
7,1,"04:37","05:56","11:50","15:10","17:47","19:02"
8,1,"04:36","05:55","11:49","15:11","17:48","19:03"
9,1,"04:35","05:54","11:49","15:11","17:49","19:04"
10,1,"04:34","05:52","11:49","15:11","17:50","19:04"
11,1,"04:32","05:51","11:49","15:12","17:50","19:05"
12,1,"04:31","05:50","11:48","15:12","17:51","19:06"
13,1,"04:30","05:49","11:48","15:12","17:52","19:07"
14,1,"04:28","05:47","11:48","15:12","17:53","19:08"
15,1,"04:27","05:46","11:48","15:13","17:53","19:08"
16,1,"04:26","05:45","11:47","15:13","17:54","19:09"
17,1,"04:24","05:43","11:47","15:13","17:55","19:10"
18,1,"04:23","05:42","11:47","15:13","17:55","19:11"
19,1,"04:22","05:41","11:46","15:14","17:56","19:11"
20,1,"04:20","05:40","11:46","15:14","17:57","19:12"
21,1,"04:19","05:38","11:46","15:14","17:58","19:13"
22,1,"04:17","05:37","11:46","15:14","17:58","19:14"
23,1,"04:16","05:36","11:45","15:14","17:59","19:14"
24,1,"04:15","05:34","11:45","15:14","18:00","19:15"
25,1,"04:13","05:33","11:45","15:15","18:00","19:16"
26,1,"04:12","05:32","11:44","15:15","18:01","19:17"
27,1,"04:10","05:30","11:44","15:15","18:02","19:18"
28,1,"04:09","05:29","11:44","15:15","18:02","19:19"
29,1,"04:08","05:28","11:43","15:15","18:03","19:19"
30,1,"04:06","05:27","11:43","15:15","18:04","19:20"
31,1,"04:05","05:25","11:43","15:15","18:05","19:21"
