day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,1,"03:22","04:50","11:36","15:15","18:26","19:49"
2,1,"03:21","04:49","11:36","15:15","18:27","19:50"
3,1,"03:20","04:48","11:35","15:15","18:27","19:51"
4,1,"03:19","04:47","11:35","15:15","18:28","19:52"
5,1,"03:18","04:46","11:35","15:15","18:29","19:53"
6,1,"03:16","04:45","11:35","15:15","18:29","19:54"
7,1,"03:15","04:44","11:35","15:15","18:30","19:55"
8,1,"03:14","04:43","11:35","15:15","18:31","19:56"
9,1,"03:13","04:43","11:35","15:15","18:31","19:57"
10,1,"03:12","04:42","11:35","15:15","18:32","19:58"
11,1,"03:11","04:41","11:35","15:15","18:33","19:59"
12,1,"03:10","04:40","11:35","15:15","18:34","20:00"
13,1,"03:09","04:40","11:35","15:15","18:34","20:01"
14,1,"03:08","04:39","11:35","15:15","18:35","20:02"
15,1,"03:07","04:38","11:35","15:15","18:36","20:03"
16,1,"03:06","04:38","11:35","15:15","18:36","20:04"
17,1,"03:06","04:37","11:35","15:15","18:37","20:04"
18,1,"03:05","04:37","11:35","15:15","18:37","20:05"
19,1,"03:04","04:36","11:35","15:16","18:38","20:06"
20,1,"03:03","04:35","11:35","15:16","18:39","20:07"
21,1,"03:02","04:35","11:35","15:16","18:39","20:08"
22,1,"03:02","04:34","11:35","15:16","18:40","20:09"
23,1,"03:01","04:34","11:35","15:16","18:41","20:10"
24,1,"03:00","04:34","11:35","15:16","18:41","20:11"
25,1,"02:59","04:33","11:35","15:16","18:42","20:11"
26,1,"02:59","04:33","11:36","15:16","18:42","20:12"
27,1,"02:58","04:32","11:36","15:16","18:43","20:13"
28,1,"02:58","04:32","11:36","15:16","18:44","20:14"
29,1,"02:57","04:32","11:36","15:16","18:44","20:15"
30,1,"02:57","04:31","11:36","15:16","18:45","20:15"
31,1,"02:56","04:31","11:36","15:17","18:45","20:16"
