day,month,fajr,shuruk,zuhr,asr,maghrib,ishaa
1,9,"03:50","05:12","11:39","15:14","18:10","19:28"
2,9,"03:51","05:12","11:38","15:14","18:08","19:26"
3,9,"03:51","05:13","11:38","15:13","18:07","19:25"
4,9,"03:52","05:14","11:38","15:12","18:06","19:23"
5,9,"03:53","05:14","11:37","15:12","18:04","19:22"
6,9,"03:54","05:15","11:37","15:11","18:03","19:20"
7,9,"03:55","05:16","11:37","15:10","18:02","19:19"
8,9,"03:55","05:16","11:36","15:10","18:01","19:17"
9,9,"03:56","05:17","11:36","15:09","17:59","19:16"
10,9,"03:57","05:17","11:36","15:08","17:58","19:14"
11,9,"03:58","05:18","11:35","15:08","17:57","19:13"
12,9,"03:58","05:19","11:35","15:07","17:55","19:12"
13,9,"03:59","05:19","11:35","15:06","17:54","19:10"
14,9,"04:00","05:20","11:34","15:05","17:53","19:09"
15,9,"04:01","05:21","11:34","15:05","17:51","19:07"
16,9,"04:01","05:21","11:34","15:04","17:50","19:06"
17,9,"04:02","05:22","11:33","15:03","17:49","19:04"
18,9,"04:03","05:22","11:33","15:02","17:47","19:03"
19,9,"04:04","05:23","11:33","15:01","17:46","19:01"
20,9,"04:04","05:24","11:32","15:01","17:45","19:00"
21,9,"04:05","05:24","11:32","15:00","17:43","18:59"
22,9,"04:06","05:25","11:31","14:59","17:42","18:57"
23,9,"04:06","05:26","11:31","14:58","17:40","18:56"
24,9,"04:07","05:26","11:31","14:57","17:39","18:54"
25,9,"04:08","05:27","11:30","14:56","17:38","18:53"
26,9,"04:09","05:28","11:30","14:56","17:36","18:52"
27,9,"04:09","05:28","11:30","14:55","17:35","18:50"
28,9,"04:10","05:29","11:29","14:54","17:34","18:49"
29,9,"04:11","05:30","11:29","14:53","17:33","18:47"
30,9,"04:12","05:30","11:29","14:52","17:32","18:46"
